,postcode,lat,lon,total_square,rooms,floor,city,settlement,district,area,price_mln
28753,127562.0,55.865384,37.596237,62.0,3.0,12.0,Москва,,Отрадное район,,15.79
28754,143441.0,55.862049,37.376917,36.36,1.0,16.0,Москва,,Митино район,,9.71
28755,109316.0,55.733672,37.672678,57.6,3.0,3.0,Москва,,Таганский район,,20.0
28756,125252.0,55.782425,37.508531,82.0,3.0,26.0,Москва,,Хорошёвский район,,48.1
28757,119571.0,55.655168,37.47314,90.4,2.0,17.0,Москва,,Тропарёво-Никулино район,,49.9
28758,129090.0,55.776738,37.646685,84.2,3.0,14.0,Москва,,Красносельский район,,61.77
28759,140016.0,55.709408,37.953348,31.8,1.0,14.0,Люберцы,,,Самолёт м-н,5.35
28760,123290.0,55.754241,37.522552,104.0,3.0,13.0,Москва,,Пресненский район,,45.52
28761,123423.0,55.775306,37.471232,58.0,3.0,10.0,Москва,,Хорошёво-Мнёвники район,,31.9
28762,123001.0,55.759237,37.594156,52.0,2.0,3.0,Москва,,Пресненский район,,55.0
28763,,55.593432,37.432521,51.0,2.0,8.0,Москва,,Сосенское поселение,,13.45
28764,105187.0,55.784167,37.742013,111.0,4.0,8.0,Москва,,Соколиная Гора район,,30.0
28765,127287.0,55.806111,37.571988,27.92,,47.0,Москва,,Савёловский район,,13.39
28766,108802.0,55.594232,37.458561,58.0,2.0,9.0,Москва,,Сосенское поселение,,13.5
28767,,55.678434,37.236176,39.7,1.0,21.0,Одинцово,,,,8.54
28768,117420.0,55.662007,37.553279,55.8,2.0,3.0,Москва,,Черёмушки район,,17.02
28769,109316.0,55.719525,37.690231,57.3,2.0,12.0,Москва,,Южнопортовый район,,19.11
28770,125480.0,55.856809,37.406644,59.7,2.0,21.0,Москва,,Северное Тушино район,,13.5
28771,108831.0,55.50324,37.536978,79.8,3.0,3.0,Щербинка,,Щербинка гор. округ,Барыши м-н,15.0
28772,125367.0,55.819963,37.465878,160.0,3.0,16.0,Москва,,Покровское-Стрешнево район,,66.0
